,close,high,open,low
20230915,33200.69188046495,33319.895858206095,32804.934674364325,32800.166515254685
20230918,32814.47099258362,33110.09685738167,33071.9515845045,32800.166515254685
20230919,32542.6859233338,32871.688901899375,32828.77546991256,32509.30880956628
20230920,32552.222241553092,32647.58542374601,32542.6859233338,32456.859059360173
20230921,31984.81130750522,32433.018263811944,32423.48194559265,31975.27498928593
20230922,31889.4481253123,31951.4341937377,31789.316784009734,31598.590419623895
20230925,31894.216284421946,31956.202352847344,31898.984443531594,31732.098874693984
20230926,31488.92276010204,31894.216284421946,31894.216284421946,31441.241169005578
20230927,31708.258079145755,31665.34464715894,31326.805350374074,31312.500873045137
20231004,30745.089938997266,31150.383463317175,31150.383463317175,30702.176507010452
20231005,30721.249143449037,30950.120780712045,30950.120780712045,30683.103870571867
20231006,30773.698893655142,30921.511826054168,30845.221280299833,30706.9446661201
20231010,30830.916802970893,31364.950623251243,31145.615304207528,30830.916802970893
20231011,31355.41430503195,31593.82226051425,31217.137690852218,31217.137690852218
20231012,31703.489920036107,31736.867033803628,31612.894896952836,31569.981464966022
20231013,31436.473009895934,31550.908828527437,31393.55957790912,31360.1824641416
20231016,31221.905849961862,31436.473009895934,31326.805350374074,31021.64316735673
20231017,31598.590419623895,31670.112806268586,31469.850123663455,31379.25510058018
20231018,31727.330715584336,31765.475988461505,31546.14066941779,31517.531714759916
20231019,31136.078985988235,31364.950623251243,31364.950623251243,31107.470031330362
20231020,30678.335711462223,30897.67103050594,30897.67103050594,30525.75461995355
20231023,30482.841187966736,30702.176507010452,30640.190438585054,30444.69591508957
20231024,30754.626257216558,30749.858098106914,30582.972529269304,30110.92477741435
20231025,30578.204370159656,30821.3804847516,30764.16257543585,30554.363574611427
20231026,29777.153639739132,30206.28795960727,30206.28795960727,29753.312844190903
20231027,29796.226276177716,29972.64816323462,29924.966572138157,29696.09493487515
20231030,29896.679118014243,29954.080741920832,29595.32059250466,29590.537123845777
20231031,29633.588341775718,30111.935207663944,29949.29727326195,29485.300813350368
20231101,29949.29727326195,30059.31705241624,29719.6907776356,29710.123840317836
20231102,30389.37638987912,30585.49860489329,30413.29373317353,30360.675577925824
20231103,30748.13653929529,30800.754694542993,30700.301852706467,30599.849010869937
20231106,32192.744074277736,31939.220235356977,31231.2668738424,31154.73137530028
20231107,31580.460085940806,32010.97226524021,32010.97226524021,31269.534623113457
